,age,health_status,health_care_cost,kid_num,income,con_base,own_bef,house_fund_balance,long_term_bond,equity_return,p_long_term_bond,p_equity_return,debt_commerical,debt_house_fund,house_price,single_child_spend,house_cost,loan_ratio,house_fund_withdraw,house_fund_loan_pay,house_commerical_loan_pay,long_term_bond_saving,equity_return_saving,p_long_term_bond_saving,p_equity_return_saving,wealth,non_consumption,house_size,reward
2695,33,1.0,637.2414155946265,2,39486.59563599668,31067.246416177237,1,46849.82790389482,5524.902094574931,75501.54515938103,47945.27247240518,26800.634640643424,0.0,0.0,45898.15393993509,7633.86910942591,0.0,0.0,0.0,0.0,0.0,-821.39808761111,5918.134063813588,8100.747585296631,2473.1739163398743,159086.86631553477,7910.9585237112515,0.07221449369985061,-3.997702820175919e-05
2696,34,1.0,637.2414155946265,2,3778.813197117955,31589.276508797346,1,50893.549103590434,4415.975594028349,82757.1508319481,53550.839533998784,29748.56821723619,0.0,0.0,46978.007966210644,5454.837336838182,0.0,0.0,0.0,0.0,0.0,-1098.863981735617,-22963.850766217467,8182.215213775635,2458.1496119499207,173865.0272375189,5654.247030074493,0.07221449369985061,-3.997702820176832e-05
2697,35,1.0,637.2414155946265,2,16351.775142154602,31429.671411484793,1,55070.347736541975,3087.294244966075,61259.301051874805,58946.14782363328,32733.69863875271,0.0,0.0,48083.267910109586,4441.467651794989,0.0,0.0,0.0,0.0,0.0,-470.1964276181943,-8302.831519532469,8434.775590896606,2416.4019227027893,159498.75060678972,4753.448856521263,0.07221449369985061,-3.997702820178502e-05
2698,36,1.0,637.2414155946265,2,6136.816921521505,31889.49754361288,1,59314.721832421295,2456.4280354540883,54041.64700461802,64313.232432452314,35729.96144359249,0.0,0.0,49214.53150117182,3167.8861074867755,0.0,0.0,0.0,0.0,0.0,-618.6301093169077,-14543.45813967556,8475.348472595215,2430.0642013549805,160095.27139114938,3420.4788659956002,0.07221449369985061,-3.997702820187663e-05
2699,37,1.0,637.2414155946265,2,6042.680337928216,31545.054489192793,1,63689.966023431014,1709.959850016729,40455.50925363617,69441.57468927931,38792.96380418359,0.0,0.0,50372.410531826376,2211.2511763796438,0.0,0.0,0.0,0.0,0.0,-435.9374027393312,-11931.582638767693,8477.38265991211,2456.17014169693,154037.62572011264,2416.9038094722882,0.07221449369985061,-3.997702820230885e-05
2700,38,1.0,637.2414155946265,2,36867.26600521267,32901.72432057365,1,68118.27079281892,1185.032265471015,29240.57545867932,74305.0605922237,41936.3316396227,0.0,0.0,51557.531188251516,3286.675827263317,0.0,0.0,0.0,0.0,0.0,689.6766673321417,14282.716412685419,8495.649576187134,2528.4942984580994,150390.2009671706,3660.1359804286185,0.07221449369985061,-3.9977028201859244e-05
2701,39,1.0,637.2414155946265,2,61179.21671473615,33619.58928032322,1,72770.80864073266,1813.0371708903474,44041.27384666129,78933.70659451313,45207.7067999872,0.0,0.0,52770.53438901902,5608.194097028139,0.0,0.0,0.0,0.0,0.0,1314.236943837249,30492.156007290796,8524.051666259766,2668.7099933624268,173806.52183522552,6326.4324943350075,0.07221449369985061,-3.9977028201766985e-05
2702,40,1.0,637.2414155946265,2,20755.875874272293,50623.82270860975,1,77588.18374157965,3032.9195557841904,75313.59870028368,83349.86947003394,48677.24840830794,0.0,0.0,54012.076131705835,5106.196045802054,0.0,0.0,0.0,0.0,0.0,-283.79797047667944,-7144.141561803379,8589.104890823364,2865.2082681655884,214274.09086593863,5879.868740364663,0.07221449369985061,-3.9977028201772196e-05
2703,41,1.0,637.2414155946265,2,0.0,0.0,1,84202.32968727223,2591.281585338665,69503.59937096105,87601.25845623884,52404.74946267969,0.0,0.0,55282.82784766051,3570.9476598485057,0.0,0.0,0.0,0.0,0.0,93.09451626322948,-22073.83410383766,8393.548250198364,2540.2289628982544,216093.11029853305,3905.0670547807995,0.07221449369985061,-3.997702820182872e-05
2704,42,1.0,637.2414155946265,2,20467.091618322647,34987.88803300437,1,85886.37628101767,1945.4420117840718,48660.98630595914,91435.83889417404,55873.3020038864,0.0,0.0,56583.47676511628,3482.3423502344967,0.0,0.0,0.0,0.0,0.0,-79.70247762784584,-2429.1518651264123,8536.098003387451,2857.4713468551636,202001.7163421738,3980.4504947706682,0.07221449369985061,-3.997702820183686e-05
2705,43,1.0,637.2414155946265,2,24597.088953676066,36118.53646459354,1,91102.89260993847,1764.4943275388043,47093.83915213731,95213.40883812662,59720.54057947519,0.0,0.0,57914.726280847164,3613.115822340601,0.0,0.0,0.0,0.0,0.0,147.1282093959121,928.1110054914534,8549.285173416138,2943.072259426117,207974.56553341475,4166.019245670617,0.07221449369985061,-3.99770282018252e-05
2706,44,1.0,637.2414155946265,2,19371.12065713792,36862.77533272331,1,96536.8041085966,1819.794257456416,48856.19365132449,98807.57266011019,63721.53194924331,0.0,0.0,59277.29634056813,3403.8611283304867,0.0,0.0,0.0,0.0,0.0,-23.807776750692938,-3524.652279988739,8555.620908737183,2977.8186678886414,217485.77246126454,3941.1774649959243,0.07221449369985061,-3.9977028201845034e-05
2707,45,1.0,637.2414155946265,2,13458.558751942888,37364.05663143186,1,102153.81772404085,1701.2802676799183,46197.00408183353,102221.02379522109,67828.14526191019,0.0,0.0,60671.923828284955,2885.196793819019,0.0,0.0,0.0,0.0,0.0,-177.1789434688303,-7674.850151721061,8557.833909988403,2996.1864352226257,222328.84566770023,3348.932498689086,0.07221449369985061,-3.997702820193515e-05
2708,46,1.0,637.2414155946265,2,99060.92934280765,37813.767807176635,1,107933.29974166486,1435.5628475193892,39340.51044504857,105459.04420673332,72025.87291553715,0.0,0.0,62099.36296480439,7464.180387112568,0.0,0.0,0.0,0.0,0.0,2582.6364045752844,60610.0074663447,8548.841714859009,3035.699486732483,222745.46447042504,8718.142080476406,0.07221449369985061,-3.997702820175948e-05
2709,47,1.0,637.2414155946265,2,185030.5032685618,81432.49423428936,1,113873.34251721582,3943.489311510987,100647.41511638492,108519.55851028339,76337.47423867395,0.0,0.0,63560.3857156202,16182.677624536354,0.0,0.0,0.0,0.0,0.0,4715.0252303645,116078.43716854078,8537.688732147217,3324.357032775879,294037.918250674,19372.398440066085,0.07221449369985061,-3.997702820175642e-05
2710,48,1.0,637.2414155946265,2,264531.7484083441,155442.4005461462,1,124294.05879098907,8453.286430361959,218508.77023618654,111409.6437380068,81014.110940199,0.0,0.0,65055.7822083955,26410.15446620131,0.0,0.0,0.0,0.0,0.0,9053.849843600632,154086.15256102543,9124.91226196289,4124.887704849243,424083.78171918134,34684.39568890864,0.07221449369985061,-3.997702820175632e-05
2711,49,1.0,637.2414155946265,2,44863.88355529328,197586.61292684553,1,142324.18002142347,17067.20811056625,376465.6949229693,114736.54591737474,86574.12256287257,0.0,0.0,66586.36116026742,21686.643143124926,0.0,0.0,0.0,0.0,0.0,-3094.367997130952,-39159.093001725385,9167.20461845398,4043.155789375305,599652.071872287,29896.456444475858,0.07221449369985061,-3.997702820175633e-05
2712,50,1.0,637.2414155946265,2,237802.13361373835,57247.59901863813,1,164929.3249145365,13084.623964575547,343975.50091617485,117932.60093198062,92150.89505818624,0.0,0.0,68152.9503152049,34175.360128061846,0.0,0.0,0.0,0.0,0.0,5257.909961334399,109715.0803685236,8358.175277709961,3423.144221305847,572065.2516720808,42059.86211314623,0.07221449369985061,-3.173536782570958e-05
2713,51,1.0,637.2414155946265,2,641491.0727260213,194757.5173964093,1,173952.67131469105,17661.580472257607,459783.93295864074,120153.296667271,97206.44568390901,0.0,0.0,69756.39689165638,66983.83133302556,0.0,0.0,0.0,0.0,0.0,30892.366781082543,371220.58923168026,8927.930116653442,4214.6769762039185,699842.6786659352,91630.60553875542,0.07221449369985061,-9.992984912201492e-06
2714,52,1.0,637.2414155946265,2,47637.46172297341,200569.3224712197,1,196907.4764806258,47634.798621166774,839149.3615468543,122828.1772079639,103143.0855817408,0.0,0.0,71397.56804072934,46123.82789351476,0.0,0.0,0.0,0.0,0.0,-12694.71135286805,-107969.4573960437,9181.326627731323,3812.4239444732666,1117911.3621851874,62422.98269705642,0.07221449369985061,-1.76633126197873e-05
2715,53,1.0,637.2414155946265,2,324312.031671877,59824.38669810713,1,220902.55825736027,32461.064506701965,746045.0098145863,125617.2474206827,108782.63701497739,0.0,0.0,73077.3513151495,62154.28347503433,0.0,0.0,0.0,0.0,0.0,14900.65688866609,92227.6188196491,8539.592027664185,3633.240222930908,1018183.202683098,80065.11534730342,0.07221449369985061,-1.2208252709130869e-05
2716,54,1.0,637.2414155946265,2,0.0,0.0,1,231303.0480923182,45672.374109201155,851488.4378918192,127619.43350523393,114342.90652221946,0.0,0.0,74796.65514925332,53283.356747579295,0.0,0.0,0.0,0.0,0.0,-11686.706231093267,-168933.8670686786,8275.193452835083,3208.3632946014404,1144524.5546105194,62570.30305717676,0.07221449369985061,-1.760163140121183e-05
2717,55,1.0,637.2414155946265,2,41061.78506008899,41771.1353182886,1,235929.10905416458,31004.696201221224,697638.2569709951,129253.02271832782,119576.79645754053,0.0,0.0,76556.40935027336,45465.4918674754,0.0,0.0,0.0,0.0,0.0,-5260.725446996268,-112186.24793275679,8322.30806350708,3166.9564247131348,983001.2546887932,55451.268801076396,0.07221449369985061,-2.1057110187828078e-05
