,age,health_status,health_care_cost,kid_num,income,con_base,own_bef,house_fund_balance,long_term_bond,equity_return,p_long_term_bond,p_equity_return,debt_commerical,debt_house_fund,house_price,single_child_spend,house_cost,loan_ratio,house_fund_withdraw,house_fund_loan_pay,house_commerical_loan_pay,long_term_bond_saving,equity_return_saving,p_long_term_bond_saving,p_equity_return_saving,wealth,non_consumption,house_size,reward
1369,43,1.0,783.4851275204093,2,3474707.6119800685,173350.99248020223,1,201562.0658825737,2274811.397322508,3121197.560892558,91862.10843332777,100878.57585179403,0.0,0.0,57914.726280847164,566331.1243502992,0.0,0.0,0.0,0.0,0.0,-1803922.361353991,3313060.6855883147,8967.121839523315,4000.7182359695435,6009541.64907105,819155.7138421331,7.265716918531316,-1.1711509562281278e-12
1370,44,1.0,783.4851275204093,2,1303785.4386195568,172251.37144414167,1,222928.40644824537,352502.700861888,6489548.679467274,96048.51818155871,106666.30693430126,0.0,0.0,59277.29634056813,283471.5093818154,0.0,0.0,0.0,0.0,0.0,2856248.2908144365,-2661882.862537368,7888.664245605469,5185.5708360672,7475458.260351482,528619.2713696646,7.265716918531316,-2.243388615019837e-12
1371,45,1.0,783.4851275204093,2,742543.2994413426,174374.00911928745,1,244612.11172162445,3190405.9530857205,3942624.882921057,98938.60009487905,113741.41733984425,0.0,0.0,60671.923828284955,461978.9930881345,0.0,0.0,0.0,0.0,0.0,-2807162.4773960495,1957753.3038917892,8612.91217803955,3500.8832216262817,7786535.876880514,655097.2062421477,7.265716918531316,-1.6317400842674575e-12
1372,46,1.0,783.4851275204093,2,585746.8136453868,178610.04362306045,1,266941.75486798567,217207.52706872206,5970219.788514381,102402.52353495137,119257.17212615562,0.0,0.0,62099.36296480439,239885.93169499136,0.0,0.0,0.0,0.0,0.0,2364076.3700397722,-2695578.4444625094,7838.8731479644775,5092.367649078369,6860283.403367607,423762.298753578,7.265716918531316,-3.1145778781055735e-12
1373,47,1.0,783.4851275204093,2,1731519.429557897,184080.1153452183,1,290141.59432765143,2569979.925659474,3380400.7619326613,104912.13752708331,126462.12014060607,0.0,0.0,63560.3857156202,457498.40138013865,0.0,0.0,0.0,0.0,0.0,-2241097.6018894706,2413814.7185156182,8927.82711982727,3577.009677886963,6643566.715102183,630517.1882462372,7.265716918531316,-1.7270243738850697e-12
1374,48,1.0,783.4851275204093,2,814405.2027914405,181589.53280692687,1,314352.4377487263,195134.7502109208,5854097.566778427,108380.09949736335,132279.34218651525,0.0,0.0,65055.7822083955,243253.62452607785,0.0,0.0,0.0,0.0,0.0,2283055.1240656613,-2382127.6242586104,7832.321405410767,5160.160303115845,6762568.656113054,413194.4870961869,7.265716918531316,-3.2335189159213773e-12
1375,49,1.0,783.4851275204093,2,1875559.0299675635,185937.77714545323,1,338798.43978439353,2468034.6201062324,3575672.314092621,110572.07516110665,139782.76399806223,0.0,0.0,66586.36116026742,479914.7559688406,0.0,0.0,0.0,0.0,0.0,-2112228.7452529864,2350732.793906877,8927.835702896118,3643.6758041381836,6777859.424183615,663870.472741437,7.265716918531316,-1.5998417120075403e-12
1376,50,1.0,783.4851275204093,2,1118435.508722995,188821.87273526296,1,364168.18629462674,227363.76579112327,5989746.33091367,113745.48974633757,145902.62062533246,0.0,0.0,68152.9503152049,257340.42436135837,0.0,0.0,0.0,0.0,0.0,2225325.4757605162,-2061614.627805655,7859.291553497314,5251.433372497559,6971938.251229472,426149.6019919014,7.265716918531316,-3.088720239729056e-12
1377,51,1.0,783.4851275204093,2,925844.5210768726,186586.42813493492,1,390333.73729404557,2440856.716446598,4034237.0237914696,115685.20850279898,153738.64497960635,0.0,0.0,69756.39689165638,429107.95604116016,0.0,0.0,0.0,0.0,0.0,-2067640.0116322564,1523685.5337292645,8622.483730316162,3614.2455339431763,7251347.826791966,598562.8725057645,7.265716918531316,-1.8655968729532214e-12
1378,52,1.0,783.4851275204093,2,2239048.2595186504,187746.01938783878,1,416799.05485342,246188.99538725312,5629387.021869287,118287.17208062581,160076.29269551014,0.0,0.0,71397.56804072934,394499.2263475108,0.0,0.0,0.0,0.0,0.0,1291406.6765145098,-468865.9606822161,7555.120468139648,4985.659718513489,6672694.000088194,614184.8256771616,7.265716918531316,-1.7956135460983184e-12
